medication_id,location_id,risk_score,risk_level,predicted_stockout_date,days_to_stockout,primary_risk_factors,contributing_factors,mitigating_factors,confidence,recommended_review
MED018,LOC003,39.1,MEDIUM,2026-09-19,19.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (712 units, 23.1 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED018,LOC004,39.6,MEDIUM,2026-09-16,16.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (712 units, 23.1 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED018,LOC005,39.3,MEDIUM,2026-09-23,23.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED018,LOC006,49.5,MEDIUM,2026-09-11,11.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (712 units, 23.1 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED018,LOC007,40.7,MEDIUM,2026-09-24,24.6,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Westside Community Hospital (712 units, 23.1 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC001,30.2,MEDIUM,2026-09-24,24.5,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC002,30.3,MEDIUM,2026-09-24,24.8,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC003,18.5,LOW,2026-09-27,27.7,None,Moderate inventory buffer (9.9 days of supply),"Confirmed inbound PO (990 units) arriving in 2d from reliable vendor (98%); Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (990 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED019,LOC004,35.7,MEDIUM,2026-09-18,18.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC005,30.2,MEDIUM,2026-09-16,16.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC006,30.2,MEDIUM,2026-09-24,24.1,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED019,LOC007,31.4,MEDIUM,2026-09-14,14.7,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1799 units, 24.2 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED020,LOC001,30.2,MEDIUM,2026-09-20,20.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED020,LOC002,35.3,MEDIUM,2026-09-19,19.5,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED020,LOC003,30.3,MEDIUM,2026-09-23,23.5,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED020,LOC004,13.9,LOW,2026-09-28,28.4,None,None,"Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED020,LOC005,15.0,LOW,2026-09-23,23.2,None,Moderate inventory buffer (7.4 days of supply),"Confirmed inbound PO (330 units) arriving in 1d from reliable vendor (92%); Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (330 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED020,LOC006,30.2,MEDIUM,2026-09-15,15.1,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED020,LOC007,38.8,MEDIUM,2026-09-15,15.8,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Metro Memorial Health - Main (1061 units, 24.4 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED021,LOC001,15.0,LOW,2026-09-26,26.6,None,Moderate inventory buffer (9.4 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (1700 units) arriving in 1d from reliable vendor (95%); Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,No escalation required; inbound shipment (1700 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED021,LOC002,11.0,LOW,2026-09-27,27.9,None,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED021,LOC003,39.2,MEDIUM,2026-09-22,22.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (4d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED021,LOC004,15.0,LOW,2026-09-29,29.8,Acute low inventory buffer (0.0 days of supply on hand),Lead time (4d) exceeds on-hand supply (0.0d); High-criticality life-saving clinical medication,"Confirmed inbound PO (500 units) arriving in 1d from reliable vendor (95%); Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,No escalation required; inbound shipment (500 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED021,LOC005,39.4,MEDIUM,2026-09-18,18.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED021,LOC006,49.6,MEDIUM,2026-09-12,12.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED021,LOC007,40.2,MEDIUM,2026-09-24,24.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1850 units, 21.6 DOS); Alternate certified supplier available with normal lead time (4d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED022,LOC001,15.0,LOW,2026-09-25,25.0,None,Moderate inventory buffer (8.3 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (1050 units) arriving in 1d from reliable vendor (93%); Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (1050 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED022,LOC002,48.0,MEDIUM,2026-09-12,12.9,Active replenishment purchase order delayed by carrier/supplier,Accelerating utilization (+38.8% 7d vs 30d usage); High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Classify as emerging risk (+38.8% demand surge); dynamically adjust safety stock baseline upwards and trigger automated replenishment PO 5 days ahead of schedule.
MED022,LOC003,39.2,MEDIUM,2026-09-21,21.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED022,LOC004,31.0,MEDIUM,2026-09-25,25.7,None,Moderate inventory buffer (9.1 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (160 units) arriving in 2d from reliable vendor (93%); Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED022,LOC005,39.4,MEDIUM,2026-09-16,16.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED022,LOC006,49.6,MEDIUM,2026-09-11,11.7,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED022,LOC007,12.1,LOW,2026-09-29,29.5,None,High-criticality life-saving clinical medication,"Regional surplus available at Metro Memorial Health - Main (1033 units, 20.9 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED023,LOC001,11.0,LOW,2026-09-28,28.1,None,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED023,LOC002,39.3,MEDIUM,2026-09-23,23.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED023,LOC003,39.3,MEDIUM,2026-09-16,16.2,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED023,LOC004,46.5,MEDIUM,2026-09-14,14.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED023,LOC005,15.0,LOW,2026-09-25,25.9,None,Moderate inventory buffer (9.0 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (360 units) arriving in 1d from reliable vendor (97%); Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (360 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED023,LOC006,10.9,LOW,2026-09-28,28.1,None,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED023,LOC007,40.9,MEDIUM,2026-09-21,21.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (584 units, 22.8 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC001,39.1,MEDIUM,2026-09-18,18.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC002,39.4,MEDIUM,2026-09-20,20.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC003,39.2,MEDIUM,2026-09-16,16.3,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC004,39.4,MEDIUM,2026-09-20,20.8,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC005,11.1,LOW,2026-09-27,27.0,None,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED024,LOC006,39.1,MEDIUM,2026-09-15,15.5,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED024,LOC007,50.6,MEDIUM,2026-09-16,16.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at North Suburban General Hospital (987 units, 20.1 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC001,30.1,MEDIUM,2026-09-23,23.9,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC002,30.1,MEDIUM,2026-09-24,24.1,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC003,30.1,MEDIUM,2026-09-21,21.7,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC004,15.0,LOW,2026-09-24,24.0,None,Moderate inventory buffer (8.6 days of supply),"Confirmed inbound PO (250 units) arriving in 1d from reliable vendor (94%); Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (250 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED025,LOC005,30.1,MEDIUM,2026-09-15,15.9,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC006,30.1,MEDIUM,2026-09-24,24.0,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED025,LOC007,36.2,MEDIUM,2026-09-18,18.9,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (1848 units, 23.8 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED026,LOC001,30.1,MEDIUM,2026-09-21,21.1,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (6d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED026,LOC002,18.4,LOW,2026-09-22,22.7,None,Moderate inventory buffer (9.1 days of supply),"Confirmed inbound PO (910 units) arriving in 2d from reliable vendor (95%); Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,No escalation required; inbound shipment (910 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED026,LOC003,30.1,MEDIUM,2026-09-20,20.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED026,LOC004,30.4,MEDIUM,2026-09-16,16.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED026,LOC005,30.2,MEDIUM,2026-09-14,14.5,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED026,LOC006,8.4,LOW,2026-09-25,25.1,None,None,"Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED026,LOC007,15.0,LOW,2026-09-29,29.5,None,None,"Confirmed inbound PO (150 units) arriving in 1d from reliable vendor (95%); Regional surplus available at Central Academic Medical Center (3481 units, 21.0 DOS); Alternate certified supplier available with normal lead time (6d)",0.95,No escalation required; inbound shipment (150 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED027,LOC001,30.2,MEDIUM,2026-09-22,22.4,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED027,LOC002,8.7,LOW,2026-09-27,27.6,None,None,"Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED027,LOC003,18.4,LOW,2026-09-25,25.5,None,Moderate inventory buffer (9.9 days of supply),"Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED027,LOC004,30.8,MEDIUM,2026-09-29,29.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED027,LOC005,18.7,LOW,2026-09-27,27.1,None,Moderate inventory buffer (9.9 days of supply),"Confirmed inbound PO (230 units) arriving in 2d from reliable vendor (95%); Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,No escalation required; inbound shipment (230 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED027,LOC006,30.2,MEDIUM,2026-09-23,23.2,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (5d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED027,LOC007,31.2,MEDIUM,2026-09-16,16.9,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Valley Regional Trauma Center (740 units, 23.3 DOS); Alternate certified supplier available with normal lead time (5d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED028,LOC001,30.2,MEDIUM,2026-09-22,22.6,Active replenishment purchase order delayed by carrier/supplier,None,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED028,LOC002,18.7,LOW,2026-09-24,24.7,None,Moderate inventory buffer (8.9 days of supply),"Confirmed inbound PO (320 units) arriving in 2d from reliable vendor (94%); Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (320 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED028,LOC003,8.5,LOW,2026-09-25,25.5,None,None,"Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED028,LOC004,38.8,MEDIUM,2026-09-13,13.0,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED028,LOC005,38.4,MEDIUM,2026-09-30,30.1,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED028,LOC006,30.2,MEDIUM,2026-09-20,20.3,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED028,LOC007,39.4,MEDIUM,2026-09-15,15.8,Active replenishment purchase order delayed by carrier/supplier,None,"Regional surplus available at Central Academic Medical Center (1071 units, 23.3 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED029,LOC001,39.5,MEDIUM,2026-09-16,16.6,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED029,LOC002,40.2,MEDIUM,2026-09-25,25.6,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED029,LOC003,24.3,LOW,2026-09-27,27.4,None,Moderate inventory buffer (9.9 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (210 units) arriving in 2d from reliable vendor (99%); Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (210 units) confirmed on schedule arriving in 2d. Maintain standard monitoring.
MED029,LOC004,25.3,LOW,2026-09-28,28.8,None,Moderate inventory buffer (9.2 days of supply); High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED029,LOC005,11.6,LOW,2026-09-29,29.8,None,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED029,LOC006,46.0,MEDIUM,2026-09-19,19.4,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (55 units, 36.7 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED029,LOC007,41.7,MEDIUM,2026-10-19,49.1,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED030,LOC001,39.8,MEDIUM,2026-09-18,18.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED030,LOC002,39.8,MEDIUM,2026-09-20,20.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED030,LOC003,39.8,MEDIUM,2026-09-15,15.9,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED030,LOC004,41.0,MEDIUM,2026-09-22,22.0,Active replenishment purchase order delayed by carrier/supplier,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Emerging supply vulnerability. Review reorder thresholds and schedule early replenishment order.
MED030,LOC005,15.0,LOW,2026-09-27,27.6,None,Moderate inventory buffer (9.9 days of supply); High-criticality life-saving clinical medication,"Confirmed inbound PO (80 units) arriving in 1d from reliable vendor (95%); Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,No escalation required; inbound shipment (80 units) confirmed on schedule arriving in 1d. Maintain standard monitoring.
MED030,LOC006,11.4,LOW,2026-09-28,28.5,None,High-criticality life-saving clinical medication,"Regional surplus available at South Ambulatory & Surgical Center (40 units, 37.4 DOS); Alternate certified supplier available with normal lead time (3d)",0.95,Inventory and supply chain parameters within normal operating thresholds. Maintain standard replenishment cycle.
MED030,LOC007,48.0,MEDIUM,2026-10-06,36.8,Active replenishment purchase order delayed by carrier/supplier,Accelerating utilization (+33.0% 7d vs 30d usage); High-criticality life-saving clinical medication,Alternate certified supplier available with normal lead time (3d),0.95,Classify as emerging risk (+33.0% demand surge); dynamically adjust safety stock baseline upwards and trigger automated replenishment PO 5 days ahead of schedule.
